Division_Name,District_Name
Hazara,Abbottabad
Malakand,Bajaur
Bannu,Bannu
Hazara,Batagram
Malakand,Buner
Peshawar,Charsadda
Malakand,Chitral
Dera Ismail Khan,Dera Ismail Khan
Bannu,FR Bannu
Dera Ismail Khan,FR Dera Ismail Khan
Kohat,FR Kohat
Bannu,FR Lakki Marwat
Peshawar,FR Peshawar
Dera Ismail Khan,FR Tank
Kohat,Hangu
Hazara,Haripur
Kohat,Karak
Peshawar,Khyber
Kohat,Kohat
Hazara,Kohistan
Kohat,Kurram
Bannu,Lakki Marwat
Malakand,Lower Dir
Malakand,Malakand PA
Hazara,Mansehra
Mardan,Mardan
Peshawar,Mohmand
Bannu,North Waziristan
Peshawar,Nowshera
Kohat,Orakzai
Peshawar,Peshawar
Malakand,Shangla
Dera Ismail Khan,South Waziristan
Mardan,Swabi
Malakand,Swat
Dera Ismail Khan,Tank
Hazara,Tor Ghar
Malakand,Upper Dir
