Division_Name,Tehsil_Name
Hazara,Abbottabad
Hazara,Alai
Malakand,Alpuri
F.A.T.A.,Ambar Utman Khel
Malakand,Babuzai
Malakand,Bahrain
Hazara,Balakot
Kohat,Banda Daud Shah
F.A.T.A.,Bannu
F.A.T.A.,Bar Chamarkand
F.A.T.A.,Bara
F.A.T.A.,Barang
Malakand,Barawal
Malakand,Barikot
Hazara,Batagram
Bannu,Bettani
F.A.T.A.,Birmal
Malakand,Bisham
F.A.T.A.,Central Kurram
F.A.T.A.,Central Orakzai
Mardan,Chagharzai
Mardan,Chamla
Malakand,Charbagh
Peshawar,Charsadda
Malakand,Chiksar
Malakand,Chitral
Mardan,Daggar
Dera Ismail Khan,Daraban
Kohat,Darra Adam Khel
Hazara,Dassu
F.A.T.A.,Data Khel
Dera Ismail Khan,Dera Ismail Khan
Malakand,Dir
F.A.T.A.,Domel
F.A.T.A.,Dossali
Dera Ismail Khan,Drazanda
Mardan,Gagra
F.A.T.A.,Garyum
Hazara,Ghazi
F.A.T.A.,Ghulam Khan
F.A.T.A.,Halimzai
Kohat,Hangu
Hazara,Haripur
Peshawar,Hassan Khel
F.A.T.A.,Ismailzai
F.A.T.A.,Jamrud
Dera Ismail Khan,Jandola
Malakand,Kabal
Malakand,Kalam
Malakand,Kalkot
Kohat,Karak
Mardan,Katlang
F.A.T.A.,Khar
Malakand,Khwazakhela
Kohat,Kohat
Dera Ismail Khan,Kulachi
Kohat,Lachi
F.A.T.A.,Ladha
Mardan,Lahor
Bannu,Lakki Marwat
F.A.T.A.,Landi Kotal
F.A.T.A.,Lower Kurram
F.A.T.A.,Lower Orakzai
F.A.T.A.,Makin
F.A.T.A.,Mamund
Hazara,Mansehra
Mardan,Mardan
Malakand,Martung
Malakand,Mastuj
Malakand,Matta Khararai
Malakand,Matta Sebujni
F.A.T.A.,Mir Ali
F.A.T.A.,Miran Shah
F.A.T.A.,Nawagai
Peshawar,Nowshera
Hazara,Oghi
Peshawar,Pabbi
Dera Ismail Khan,Paharpur
Hazara,Palas
Hazara,Pattan
Peshawar,Peshawar
F.A.T.A.,Pindiali
Mardan,Pir Baba/ Gadaizi
F.A.T.A.,Prang Ghar
Malakand,Puran
F.A.T.A.,Razmak
F.A.T.A.,Safi
F.A.T.A.,Salarzai Tehsil
Malakand,Sam Ranizai
Malakand,Samar Bagh
Bannu,Sarai Naurang
F.A.T.A.,Sararogha
F.A.T.A.,Serwekai
F.A.T.A.,Shewa
F.A.T.A.,Spinwam
Mardan,Swabi
Malakand,Swat Ranizai
Mardan,Takht Bhai
Kohat,Takht E Nasrati
Kohat,Tall
Peshawar,Tangi
Dera Ismail Khan,Tank
F.A.T.A.,Tiarza
Malakand,Timergara
F.A.T.A.,Toi Khulla
Mardan,Topi
Hazara,Tor Ghar
Mardan,Totalai
F.A.T.A.,Upper Kurram
F.A.T.A.,Upper Momand
F.A.T.A.,Upper Orakzai
F.A.T.A.,Utman Khel Tehsil
F.A.T.A.,Wana
Malakand,Wari
Bannu,Wazir
F.A.T.A.,Yaka Ghund
