"","Tehsil_Name","Composite Inaccessibility Index, equal weights","Composite Inaccessibility Index, education-preferred","Education Inaccessibility Index, equal weights","Additional travel time to high school for girls (person-hours)","Additional travel time to middle school for girls (person-hours)","Additional travel time to primary school for girls (person-hours)","Additional travel time to school for girls (person-hours), equal weights","Health Inaccessibility Index","Market Inaccessibility Index","Additional travel time to school for girls (person-hours), primary- and middle-preferred"
"1","Abbottabad",0.155272215,0.156811763,0.161430405,0.134148398,0.001716311,0.03373226,0.031944926,0.16407363,0.14031261,0.041009108
"2","Alai",0.397159013,0.388568615,0.36279742,1.708455387,0.293816964,0.130124589,0.135885185,0.376834202,0.451845416,0.511267699
"3","Alpuri",0.288746191,0.287380903,0.28328504,0.284525855,0.403878842,0.145058637,0.212738582,0.317207193,0.26574634,0.276480163
"4","Ambar Utman Khel",0.39865775,0.423581457,0.498352576,0.336591743,-0.379478763,0.391498878,0.259194063,0.43144027,0.266180404,0.072126395
"5","Babuzai",0.087302727,0.097788551,0.12924602,0.035850737,0.014055057,0.092828231,0.018408062,0.083402646,0.049259516,0.049923463
"6","Bahrain",0.308474985,0.330437116,0.396323508,0.094998849,0.202476245,0.08558406,0.106068364,0.318576561,0.210524887,0.134223892
"7","Balakot",0.26687728,0.269685925,0.278111858,0.135346872,0.081302082,0.110080728,0.109592903,0.278597373,0.243922609,0.103622498
"8","Banda Daud Shah",0.185333105,0.185791593,0.187167056,0.177390217,0.184761806,0.059311596,0.065505578,0.168789585,0.200042675,0.133107404
"9","Bannu",0.12176454,0.117805194,0.105927155,0.105716859,0.070038383,0.025878152,0.005486198,0.109603701,0.149762765,0.059509986
"10","Bar Chamarkand",0.311640137,0.319051166,0.341284252,-0.013370784,0.691366388,0.211014489,0.211453668,0.371319537,0.222316623,0.358278194
"11","Bara",0.203166126,0.209494665,0.228480283,0.186871063,0.086124239,0.024276554,0.057580628,0.224110804,0.15690729,0.08153453
"12","Barang",0.368345548,0.377684125,0.405699856,0.515085312,0.811814311,0.363308984,0.363536401,0.409378197,0.28995859,0.57306638
"13","Barawal",0.203125832,0.206554815,0.216841763,0.113120401,0.132889012,0.27370926,0.091203921,0.189808995,0.202726738,0.185263389
"14","Barikot",0.111839648,0.125982473,0.168410948,0.060966748,0.027461158,0.060104246,0.036424234,0.095563259,0.071544737,0.047219511
"15","Batagram",0.187213413,0.185927833,0.182071091,0.14295458,0.011054332,0.08314584,0.083667161,0.174673404,0.204895744,0.066270985
"16","Bettani",0.455281714,0.439628119,0.392667334,0.669814289,0.252903745,0.01129153,0.021425821,0.530914694,0.442263113,0.239640968
"17","Birmal",0.639033967,0.719559036,0.961134241,0.026742018,0.447984539,0.168847243,0.088914599,0.56234159,0.393626071,0.252081116
"18","Bisham",0.246192321,0.248822364,0.256712492,0.790437249,-0.010753868,0.273230675,0.120068179,0.209180343,0.272684129,0.263078173
"19","Central Kurram",0.509135729,0.504337876,0.489944315,0.567424267,0.240363101,0.101536978,0.102574821,0.486461416,0.551001457,0.250244885
"20","Central Orakzai",0.37779099,0.332045933,0.194810763,0.372810705,0.024884746,0.035916534,0.052177468,0.497117501,0.441444705,0.098882653
"21","Chagharzai",0.247391108,0.251030908,0.261950308,0.253940768,0.147579742,0.164997431,0.163192289,0.267751094,0.212471923,0.175819023
"22","Chamla",0.215110239,0.2103261,0.195973685,0.08019948,0.183329634,0.102068691,0.097751246,0.241858576,0.207498455,0.130199226
"23","Charbagh",0.121507374,0.126836761,0.142824924,0.288197092,-0.077245341,0.012489648,0.031905834,0.120967205,0.100729992,0.031737141
"24","Charsadda",0.084138962,0.088896878,0.103170626,0.025620016,0.018908639,0.016102642,0.010848357,0.085442031,0.06380423,0.019128516
"25","Chiksar",0.322772262,0.318562203,0.305932025,0.239531748,0.495891313,0.122949345,0.152480912,0.290609913,0.371774847,0.295442613
"26","Chitral",0.559363212,0.518808093,0.397142736,0.518746522,0.131290292,0.159386511,0.238805774,0.600290293,0.680656607,0.220020026
"27","Daggar",0.174296949,0.184934285,0.216846292,0.116119573,0.06284209,0.068899661,0.087347042,0.176966886,0.12907767,0.075920615
"28","Daraban",0.297950788,0.28904203,0.262315755,0.133862364,0.516591608,0.120252894,0.122430024,0.345858978,0.28567763,0.281510274
"29","Darra Adam Khel",0.155541727,0.15514182,0.153942097,0.332158614,-0.065274816,-0.032438799,-0.003997827,0.175313425,0.137369659,0.027346277
"30","Dassu",0.990947077,0.993210308,1,0.558398207,0.852608049,0.254281959,0.260465675,0.972841231,1,0.554435645
"31","Data Khel",0.743702398,0.724150969,0.665496681,0.997854711,0.599968708,-0.001978152,0.023554071,1,0.565610512,0.438767165
"32","Dera Ismail Khan",0.147834201,0.161857137,0.203925947,0.060031318,0.121948799,0.107908397,0.071438634,0.148520992,0.091055663,0.103949142
"33","Dir",0.325223705,0.30832002,0.257608966,0.265437226,0.160108426,0.133843029,0.141601834,0.388808101,0.329254047,0.170668027
"34","Domel",0.124023535,0.125582563,0.130259647,0.042613142,0.017424601,0.001963326,0.027790662,0.101358502,0.140452456,0.016277799
"35","Dossali",0.277577323,0.273469044,0.261144207,0.322503913,0.157967179,-0.024600987,0.029478406,0.340044964,0.231542798,0.117847259
"36","Drazanda",0.486015751,0.491633867,0.508488215,0.190081071,0.628744789,0.204403694,0.230481515,0.554797054,0.394761984,0.371275607
"37","Gagra",0.122788969,0.128723541,0.146527259,0.029101903,0.023339961,0.066857587,0.05504884,0.128128158,0.093711489,0.0418994
"38","Garyum",0.481369203,0.474823183,0.455185123,1.191054402,0.413388696,0.026303929,0.032184781,0.614107296,0.374815189,0.41408793
"39","Ghazi",0.185653448,0.18608934,0.187397018,0.254126809,0.086070848,0.081692214,0.078921651,0.201655077,0.167908248,0.117930587
"40","Ghulam Khan",0.354639637,0.373900508,0.43168312,-0.028912478,-0.027430443,0.024540889,0.041183196,0.379398144,0.252837646,-0.006938317
"41","Halimzai",0.121623639,0.126625278,0.141630193,0.133961591,0.022822922,-0.012185725,0.050754829,0.139862103,0.083378622,0.031047197
"42","Hangu",0.113494362,0.115060828,0.119760227,0.159707809,0.048456535,0.029841743,0.017696688,0.103636429,0.117086429,0.063260873
"43","Haripur",0.117049704,0.122129786,0.13737003,0.039322749,0.059613773,0.028598134,0.02461083,0.122620586,0.091158497,0.043149313
"44","Hassan Khel",0.407253414,0.38633522,0.323580636,1.016566701,0.719828844,0.017091062,0.0279328,0.515796011,0.382383595,0.498081303
"45","Ismailzai",0.337956671,0.318625029,0.260630104,0.422661312,0.303579803,0.06552519,0.096414039,0.401327653,0.351912256,0.23217426
"46","Jamrud",0.174921587,0.176840407,0.182596868,0.190214522,0.26666394,0.040719017,0.036948857,0.209484798,0.132683095,0.160996087
"47","Jandola",0.353866716,0.337737559,0.289350087,0.492017991,0.060386211,-0.018381796,0.014817257,0.454355913,0.317894147,0.115205364
"48","Kabal",0.107820171,0.115805703,0.139762296,0.116242504,0.054084206,0.050061123,0.014283412,0.102013226,0.081684992,0.064906632
"49","Kalam",0.360443959,0.370912676,0.402318827,0.536137863,0.529992416,0.018168687,0.076516624,0.371078502,0.307934547,0.326492014
"50","Kalkot",0.760872258,0.7271477,0.625974027,1.948895876,0.633793673,0.089872927,0.296382972,0.879794197,0.776848549,0.679245815
"51","Karak",0.133956098,0.126332074,0.103460001,0.056977699,0.009744093,0.052494731,0.01111755,0.117075014,0.181333278,0.036291069
"52","Katlang",0.099631178,0.107245619,0.130088944,0.007737572,-0.022250622,0.028284975,0.023845422,0.091500346,0.077304243,0.003961256
"53","Khar",0.123582947,0.128783425,0.144384858,0.065813532,-0.003832362,0.039481276,0.040718439,0.114463382,0.1119006,0.027422272
"54","Khwazakhela",0.119529158,0.126775801,0.148515729,0.098953056,0.036180981,0.073990936,0.061568242,0.1227719,0.087299846,0.063859378
"55","Kohat",0.099862828,0.106889393,0.127969088,0.078521496,0.009966533,0.070275424,0.009002614,0.083499545,0.088119852,0.047801082
"56","Kulachi",0.212991904,0.214727568,0.219934562,0.366987944,0.172899577,0.069542812,0.109587351,0.232263095,0.186778054,0.170374544
"57","Lachi",0.194400849,0.190590123,0.179157945,0.126092487,-0.013200512,0.004210731,0.073133245,0.18168356,0.222361041,0.021622585
"58","Ladha",0.491404739,0.478573887,0.440081329,0.325273244,0.36333752,0.068821817,0.167385328,0.656043327,0.378089561,0.237918384
"59","Lahor",0.096766017,0.103246779,0.122689065,0.033414095,0.048387637,0.017512121,0.014057363,0.091425397,0.076183588,0.033042722
"60","Lakki Marwat",0.152530193,0.147922433,0.134099153,0.210119609,0.04108047,0.0364307,0.038157252,0.153673646,0.169817781,0.07302839
"61","Landi Kotal",0.237543522,0.23613836,0.231922872,0.259135527,0.296022075,0.045732023,0.049280155,0.292079441,0.188628254,0.188528745
"62","Lower Kurram",0.238623809,0.228068222,0.196401461,0.093683551,0.129952556,0.016019262,0.02433074,0.193976399,0.325493568,0.077125437
"63","Lower Orakzai",0.380927478,0.341895785,0.224800705,0.329654044,0.069324999,0.062077271,0.046214234,0.506404171,0.411577558,0.118491717
"64","Makin",0.498247229,0.468204357,0.378075741,0.513383595,0.744408285,0.163192914,0.188186554,0.719343695,0.397322252,0.465717199
"65","Mamund",0.202628834,0.204553778,0.210328609,0.302982296,-0.040784986,0.057404144,0.058372788,0.201717639,0.195840253,0.067244122
"66","Mansehra",0.129023879,0.133961919,0.148776038,0.05665175,0.046295401,0.063790441,0.035033575,0.130178989,0.10811661,0.055364687
"67","Mardan",0.085221887,0.094027534,0.120444475,0.016784902,0.017852684,0.01281143,0.016655389,0.081289429,0.053931758,0.015622626
"68","Martung",0.417792612,0.411742813,0.393593414,0.643979902,0.51423535,0.218535774,0.277080858,0.452407064,0.407377359,0.42190443
"69","Mastuj",0.708038403,0.654326182,0.493189518,0.496069028,0.036884609,0.247263932,0.154347203,0.832603888,0.798321802,0.212873222
"70","Matta Khararai",0.123437851,0.1313775,0.155196445,0.161424635,0.043684468,0.030644208,0.052036895,0.127873244,0.087243865,0.062016397
"71","Matta Sebujni",0.200443509,0.201307296,0.203898656,0.253768446,0.168705997,0.036406642,0.093827101,0.236335905,0.161095966,0.132798745
"72","Mir Ali",0.178848033,0.176000733,0.167458835,0.435332474,0.039458605,0.081009511,-0.001895496,0.202324164,0.166761099,0.135253741
"73","Miran Shah",0.260871997,0.238575084,0.171684344,0.328814414,0.029929771,0.004840195,-0.008403039,0.365021718,0.245909928,0.079670869
"74","Nawagai",0.183079901,0.183826923,0.18606799,0.308443549,0.21029141,0.037087345,0.037891605,0.186992725,0.176178988,0.160640212
"75","Nowshera",0.083739907,0.09126835,0.113853678,0.045905407,-0.003685237,0.020803058,0.010578657,0.078404682,0.058961362,0.01602821
"76","Oghi",0.168965901,0.171025948,0.177206089,0.125652454,0.037607732,0.034594012,0.063536189,0.170569052,0.159122561,0.054011188
"77","Pabbi",0.091136798,0.10002086,0.126673044,0.018357065,0.026445041,0.008862332,0.019214517,0.083517622,0.063219729,0.017794362
"78","Paharpur",0.145571921,0.147011352,0.151329644,0.070242161,0.029034998,0.047056481,0.047378569,0.164504473,0.120881647,0.044485024
"79","Palas",0.507177367,0.485020994,0.418551872,1.728931937,0.755685942,0.173076598,0.08290182,0.530171607,0.572808623,0.717291403
"80","Pattan",0.621061815,0.596544338,0.522991906,1.332016856,1.18162032,0.091635194,0.180051865,0.650796124,0.689397416,0.775705577
"81","Peshawar",0.075436839,0.084077536,0.109999624,0.046815097,0.010959019,0.012343305,0.01215023,0.067244011,0.049066883,0.018683949
"82","Pindiali",0.254282797,0.264600363,0.295553061,0.325443101,0.046184024,0.002546536,0.174725285,0.292137477,0.175157852,0.084580844
"83","Pir Baba/ Gadaizi",0.190785108,0.204042871,0.243816157,0.079639332,0.002999113,0.0562356,0.073828387,0.18212374,0.146415428,0.039621752
"84","Prang Ghar",0.33983031,0.347580582,0.370831398,0.45897026,-0.441160051,0.173980021,0.003706376,0.392685693,0.255973839,-0.01507796
"85","Puran",0.244441547,0.235599446,0.209073142,0.282260665,0.084454503,0.045168003,0.048151326,0.255202758,0.269048741,0.108301135
"86","Razmak",0.316137278,0.2966307,0.238110964,0.237437286,-0.089249061,-0.007403389,0.007620748,0.451876369,0.258424502,0.008826477
"87","Safi",0.184485546,0.184488021,0.184495444,0.084467832,0.189704769,0.042637229,0.062098456,0.226431202,0.142529993,0.109830366
"88","Salarzai Tehsil",0.212515308,0.220298666,0.243648741,0.508288884,-0.001164182,0.039179144,0.176161629,0.203070484,0.190826698,0.116863762
"89","Sam Ranizai",0.094762431,0.099806059,0.114936944,0.004062338,-0.012630905,0.02621521,0.006889213,0.091439121,0.077911227,0.00624619
"90","Samar Bagh",0.107430569,0.108660851,0.112351696,0.060438117,-0.005178673,0.029401714,0.030971539,0.092784288,0.117155723,0.02177684
"91","Sarai Naurang",0.128119002,0.129828283,0.134956126,0.152166205,0.04962007,0.036233084,0.03629566,0.119279808,0.130121072,0.064774503
"92","Sararogha",0.37410879,0.375418921,0.379349314,0.287713431,0.177510586,0.011010755,0.064261144,0.453546816,0.289430239,0.132951223
"93","Serwekai",0.412548645,0.406987408,0.390303697,0.442047422,0.450555377,-0.011556577,0.095274897,0.516117799,0.331224439,0.264009004
"94","Shewa",0.211290172,0.216395213,0.231710335,0.28957023,0.391483767,0.012534831,0.042919567,0.177195026,0.224965154,0.219521485
"95","Spinwam",0.33121212,0.344951433,0.386169372,0.447900858,0.377649906,0.041183196,0.101861523,0.348833556,0.258633431,0.257113412
"96","Swabi",0.090635932,0.096186425,0.112837906,0.001444445,0.023821347,0.014544639,0.018711331,0.075817213,0.083252676,0.015635283
"97","Swat Ranizai",0.103229551,0.106808364,0.117544803,0.024869793,0.05983049,0.009067369,0.025143083,0.106404563,0.085739286,0.032533102
"98","Takht Bhai",0.087162021,0.092961165,0.110358595,0.004655953,0.027007023,0.017220732,0.01174525,0.093434825,0.057692644,0.018622293
"99","Takht E Nasrati",0.158213152,0.15164688,0.131948062,0.091790936,0.020025583,0.010073298,0.052803916,0.141849116,0.200842279,0.03039774
"100","Tall",0.201026198,0.196134799,0.181460599,0.352087925,0.104417885,0.015605734,0.032532865,0.160146699,0.261471297,0.118427033
"101","Tangi",0.124365043,0.132085518,0.155246941,0.029848031,0.037255239,0.011150507,0.015085114,0.115361741,0.102486448,0.025331905
"102","Tank",0.146340034,0.147793872,0.152155386,0.114173893,0.114094768,0.0241274,0.027291724,0.164201845,0.12266287,0.078123646
"103","Tiarza",0.429043202,0.409472226,0.350759296,0.258478216,0.125817186,0.04407948,0.031228318,0.567037725,0.369332585,0.11965431
"104","Timergara",0.115176152,0.112875786,0.105974689,0.044511531,0.016336481,0.03170154,0.028214585,0.120818131,0.118735635,0.028117515
"105","Toi Khulla",0.719324761,0.767128568,0.91053999,-0.005533947,0.866305289,0.08890205,0.025823118,0.774561231,0.472873062,0.380976146
"106","Topi",0.140615022,0.14324511,0.151135374,0.080073401,0.058742206,0.011783782,0.01513839,0.144795987,0.125913704,0.044225075
"107","Tor Ghar",0.441576275,0.429744695,0.394249954,0.948424694,1.106261821,0.184825251,0.192046696,0.491828733,0.438650137,0.706119768
"108","Totalai",0.197152041,0.193729853,0.18346329,0.111588666,0.320214657,0.092852583,0.069901849,0.217251187,0.190741645,0.187544629
"109","Upper Kurram",0.251275087,0.22976707,0.165243018,0.072621955,0.219879886,0.009876816,0.022599831,0.203860897,0.384721346,0.106427072
"110","Upper Momand",0.390387762,0.388280131,0.381957236,0.200727475,-0.23822035,0.049157349,0.141604902,0.502090968,0.287115082,-0.035479705
"111","Upper Orakzai",0.56212941,0.516879842,0.381131138,0.346268984,-0.114500633,0.045361768,0.061594201,0.67375657,0.631500522,0.041598251
"112","Utman Khel Tehsil",0.159115862,0.160867199,0.16612121,0.229843408,0.244561006,0.176295546,0.039766555,0.166529077,0.144697298,0.214311302
"113","Wana",0.367775026,0.360816374,0.339940416,0.046481184,0.445742606,0.025579551,0.031300664,0.437142423,0.32624224,0.1978251
"114","Wari",0.189577063,0.182256819,0.160296087,0.230343607,0.112298122,0.080883317,0.080841098,0.20091538,0.207519723,0.123341297
"115","Wazir",0.331859538,0.334720151,0.343301988,0.527188717,0.349523709,0.027770299,0.046662427,0.366526877,0.28574975,0.256355347
"116","Yaka Ghund",0.125272415,0.130198105,0.144975174,0.070130897,0.001498137,0.15176034,-0.003749375,0.137931053,0.092911018,0.07532957
